,0,DeltaPressure
226,-207.59927657044304,-33.659999999999854
227,-220.11058441256347,-20.539999999999964
228,-2200.019399782281,-2427.71
229,-2207.763399782281,-2307.4800000000005
230,-212.35967076949223,-155.59000000000015
231,-206.62437265216687,-176.24000000000026
232,-206.62437265216687,-147.1500000000001
233,-206.62437265216687,-20.65000000000009
234,-1261.3162469848849,-1753.58
235,-1259.524047744561,-1581.31
236,-389.29985505353,-107.80999999999996
237,-619.2780470888079,-258.1500000000001
238,-384.02074660899865,-150.34000000000015
239,-406.61130439225263,-1181.41
240,-406.61130439225263,-1101.6799999999996
241,-406.61130439225263,-1553.75
242,-448.73721726623006,-372.34000000000015
243,-448.73721726623006,-452.07000000000016
244,-1150.5363928055044,-1162.1800000000005
245,-1545.3859760838982,-2238.69
246,-1144.6853121531437,-1076.5099999999998
247,-332.8186291833813,-876.6300000000001
248,-332.8186291833813,-467.52
249,-332.8186291833813,-451.3900000000003
250,-332.8186291833813,-502.48
251,-357.0130953307913,-1050.5
252,-217.59170288430792,-173.86999999999992
253,-217.59170288430792,-34.960000000000036
254,-217.59170288430792,-582.98
255,-217.59170288430792,-51.08999999999968
256,-217.59170288430792,-599.1099999999998
257,-217.59170288430792,-548.02
258,-1330.0140125269259,-873.0299999999997
259,-341.9687894977568,-291.73
260,-1217.5289124460935,-1137.25
261,-2155.4474362977894,-2723.0399999999995
262,-1708.7786902112086,-1585.7899999999993
263,-946.161399377794,-573.3400000000001
264,-1329.709997771049,-1144.5
265,-1329.709997771049,-1389.0
266,-1320.662047771049,-1475.33
267,-1439.8044114074128,-1600.42
268,-959.7135194067087,-571.1599999999999
269,-946.161399377794,-815.6599999999999
270,-946.161399377794,-901.9899999999997
271,-1215.544997771049,-1027.08
272,-302.1389424126062,-244.5
273,-366.1520842095055,-330.82999999999987
274,-465.2627802886321,-455.9200000000001
275,-426.910158426031,-86.32999999999994
276,-366.1520842095055,-211.42000000000007
277,-384.588796265796,-125.09000000000015
278,-1156.9973804005374,-1291.04
279,-1156.9973804005374,-1817.9100000000005
280,-822.550136065565,-526.8700000000003
281,-392.6615149947579,-165.57000000000016
282,-392.6615149947579,-114.40999999999985
283,-392.6615149947579,-210.92000000000007
284,-392.6615149947579,-268.32000000000016
285,-404.55869188752786,-322.1500000000001
286,-392.6615149947579,-45.349999999999895
287,-392.6615149947579,-102.75
288,-404.55869188752786,-156.5799999999999
289,-227.25447451042632,-96.5100000000002
290,-368.4670488473479,-153.9100000000003
291,-380.36422574011783,-207.74000000000026
292,-250.80912094857436,-57.400000000000105
293,-359.6477609252444,-111.23000000000002
294,-227.25447451042632,-53.829999999999934
295,-607.947395430409,-1031.66
296,-730.7054084711851,-626.8000000000002
297,-199.8355067223793,-55.69999999999982
298,-199.8355067223793,-202.4899999999997
299,-199.8355067223793,-297.9399999999996
300,-199.8355067223793,-394.6399999999994
301,-199.8355067223793,-397.76000000000016
302,-1105.532991959965,-991.5
303,-1428.08980661324,-1428.9700000000007
304,-986.7915185907963,-437.47000000000025
305,-325.9996298083215,-364.8900000000003
306,-331.45616471718415,-749.3900000000003
307,-331.45616471718415,-513.3200000000002
308,-355.65063086459423,-477.3100000000004
309,-378.2985230656517,-476.78000000000014
310,-293.75913561941854,-384.5
311,-293.75913561941854,-148.42999999999984
312,-293.75913561941854,-112.42000000000007
313,-354.1040569182417,-111.88999999999987
314,-1837.9427482398391,-1446.0500000000006
315,-2168.8513595608392,-2542.84
316,-1468.1785937135694,-1096.7899999999997
317,-341.20846328491933,-252.1600000000008
318,-1244.513599459613,-1620.1100000000006
319,-1403.3361779313655,-1446.0500000000006
320,-620.1168669412281,-1182.1800000000005
321,-904.1744312017638,-1906.5200000000007
322,-1337.8129327626382,-1367.9499999999996
323,-1496.6356052601927,-1193.89
324,-1549.1489692260195,-930.0199999999996
325,-1440.1859211581527,-1654.3599999999994
326,-341.20846328491933,-286.4099999999998
327,-341.20846328491933,-460.4699999999999
328,-462.1885276217442,-724.3400000000001
329,-517.9004420339727,-150.1000000000004
330,-729.9787109266883,-1373.67
331,-703.2677109266882,-1223.5699999999995
332,-317.07564342731615,-66.9399999999996
333,-317.07564342731615,-977.0
334,-330.6492332179711,-1052.59
335,-457.93610023095823,-1022.96
336,-794.6146847916132,-1346.4299999999996
337,-317.07564342731615,-910.0600000000003
338,-347.8084059452438,-985.6500000000003
339,-457.93610023095823,-956.0200000000003
340,-726.0059177112208,-1279.4899999999998
341,-317.07564342731615,-75.59000000000015
342,-457.93610023095823,-45.960000000000036
343,-457.93610023095823,-369.4299999999994
344,-440.7769275036855,-293.83999999999924
345,-295.8263100939829,-323.4699999999993
346,-679.8528303223267,-471.23999999999984
347,-1531.0148551035384,-2363.82
348,-1603.3748715987062,-1892.58
349,-561.9904145128331,-1431.0299999999993
350,-1401.4044224379973,-2244.84
351,-1401.4044224379973,-1873.25
352,-1401.4044224379973,-1666.34
353,-1401.4044224379973,-1962.01
354,-1297.026716414065,-813.81
355,-1438.634708152283,-442.22000000000025
356,-1401.4044224379973,-235.31000000000043
357,-1401.4044224379973,-530.98
358,-250.81972631613195,-88.75999999999979
359,-233.8277762129309,-295.6699999999996
360,-1442.261567892848,-633.7700000000004
361,-2033.9841813203955,-3479.220000000001
362,-1861.2017864814875,-2845.45
363,-841.4720976316194,-706.6299999999992
364,-1097.191844367381,-2106.38
365,-1097.191844367381,-2090.4299999999994
366,-927.3146894731186,-1971.8899999999994
367,-1037.1259938209446,-2250.05
368,-1077.2046168623885,-1399.7500000000007
369,-1207.003148715207,-1383.8000000000006
370,-1207.003148715207,-1265.2600000000002
371,-930.5904309649528,-1543.4200000000005
372,-400.10654711592827,-143.6700000000001
373,-369.47945962805505,-159.62000000000037
374,-307.8724826387953,-278.1600000000003
375,-545.9065265340205,-330.09999999999945
376,-578.5913668322921,-1300.1099999999994
377,-642.5339894970649,-970.0100000000003
378,-345.60091944395447,-199.15000000000055
379,-345.60091944395447,-586.4099999999999
380,-345.60091944395447,-851.5299999999997
381,-345.60091944395447,-974.4499999999997
382,-345.60091944395447,-1096.9499999999996
383,-345.60091944395447,-387.2599999999993
384,-345.60091944395447,-652.3799999999992
385,-345.60091944395447,-775.2999999999993
386,-345.60091944395447,-897.7999999999993
387,-366.9533932430675,-265.11999999999995
388,-345.60091944395447,-388.04
389,-345.60091944395447,-510.54
390,-345.60091944395447,-122.92000000000007
391,-345.60091944395447,-245.42000000000007
392,-345.60091944395447,-122.5
393,-617.7570370471634,-230.69999999999985
394,-683.0559766118769,-943.2300000000004
395,-596.5077037138301,-712.5300000000008
396,-351.04384860258654,-71.10000000000036
397,-418.7950905073485,-312.9499999999998
398,-609.5518538103206,-577.9700000000003
399,-487.4656249680012,-654.8999999999996
400,-835.6647690058142,-1044.8199999999997
401,-267.7113656495384,-241.84999999999943
402,-435.95426323462124,-506.86999999999983
403,-401.9531643335223,-583.7999999999993
404,-575.5507549092217,-973.7199999999992
405,-267.7113656495384,-265.02000000000044
406,-340.4335777345518,-341.9499999999998
407,-418.7950905073485,-731.8699999999999
408,-317.4928094050812,-76.92999999999937
409,-401.8031404041474,-466.84999999999945
410,-288.9606989828717,-389.9200000000001
411,-2284.943296852428,-2574.03
412,-2519.6420374150534,-2481.07
413,-1052.347949790569,-323.27999999999975
414,-924.6487464544265,-464.3499999999999
415,-249.8503506761919,-115.27999999999977
