Well,x,y,MD,Z,PTI_TVT,DeltaCase,DeltaPressure
6,-6216.349999999977,4427.5999999996275,4432.51,-2511.0,11.47,L12minusL6,-424.6500000000001
6,-6216.349999999977,4427.5999999996275,4432.51,-2511.0,11.47,L14minusL6,-525.06
6,-6216.349999999977,4427.5999999996275,4432.51,-2511.0,11.47,L16minusL6,-315.4699999999998
6,-6216.349999999977,4427.5999999996275,4432.51,-2511.0,11.47,L18minusL6,-548.1700000000001
6,-6216.349999999977,4427.5999999996275,4432.51,-2511.0,11.47,L14minusL12,-100.40999999999985
6,-6216.349999999977,4427.5999999996275,4432.51,-2511.0,11.47,L18minusL12,-123.51999999999998
6,-6216.349999999977,4427.5999999996275,4432.51,-2511.0,11.47,L18minusL14,-23.110000000000127
6,-6216.349999999977,4427.5999999996275,4432.51,-2511.0,11.47,L18minusL16,-232.70000000000027
7,-3453.0200000000186,10526.889999999665,4550.6,-2526.99,48.0,S02minusS92,-1316.27
7,-3453.0200000000186,10526.889999999665,4550.6,-2526.99,48.0,S12minusS92,-1275.85
7,-3453.0200000000186,10526.889999999665,4550.6,-2526.99,48.0,L6minusL1,-550.5999999999999
7,-3453.0200000000186,10526.889999999665,4550.6,-2526.99,48.0,L12minusL1,-344.7800000000002
7,-3453.0200000000186,10526.889999999665,4550.6,-2526.99,48.0,L14minusL1,-159.88999999999987
7,-3453.0200000000186,10526.889999999665,4550.6,-2526.99,48.0,L16minusL1,-7.829999999999927
8,-2620.2399999999907,10074.549999999814,4475.81,-2512.97,22.0,S02minusS92,-1944.0500000000002
8,-2620.2399999999907,10074.549999999814,4475.81,-2512.97,22.0,S12minusS92,-1013.54
8,-2620.2399999999907,10074.549999999814,4475.81,-2512.97,22.0,L12minusL6,-560.4200000000001
8,-2620.2399999999907,10074.549999999814,4475.81,-2512.97,22.0,L14minusL6,-603.9700000000003
8,-2620.2399999999907,10074.549999999814,4475.81,-2512.97,22.0,L16minusL6,-639.3599999999997
8,-2620.2399999999907,10074.549999999814,4475.81,-2512.97,22.0,L18minusL6,-727.8699999999999
8,-2620.2399999999907,10074.549999999814,4475.81,-2512.97,22.0,L14minusL12,-43.55000000000018
8,-2620.2399999999907,10074.549999999814,4475.81,-2512.97,22.0,L16minusL12,-78.9399999999996
8,-2620.2399999999907,10074.549999999814,4475.81,-2512.97,22.0,L18minusL12,-167.44999999999982
8,-2620.2399999999907,10074.549999999814,4475.81,-2512.97,22.0,L16minusL14,-35.38999999999942
8,-2620.2399999999907,10074.549999999814,4475.81,-2512.97,22.0,L18minusL14,-123.89999999999964
8,-2620.2399999999907,10074.549999999814,4475.81,-2512.97,22.0,L18minusL16,-88.51000000000022
9,-4357.439999999944,7483.9900000002235,2566.21,-2415.54,48.9,S02minusS92,-1180.5500000000002
9,-4357.439999999944,7483.9900000002235,2566.21,-2415.54,48.9,L6minusL1,-74.35000000000036
9,-4357.439999999944,7483.9900000002235,2566.21,-2415.54,48.9,L16minusL14,-221.83000000000038
10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,S02minusS92,-864.2200000000003
10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,S12minusS92,-1694.04
10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,S12minusS02,-829.8199999999997
10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,L12minusL1,-220.30000000000018
10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,L14minusL1,-697.5599999999995
10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,L16minusL1,-698.8199999999997
10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,L18minusL1,-968.2600000000002
10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,L12minusL6,-246.42000000000007
10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,L14minusL6,-723.6799999999994
10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,L16minusL6,-724.9399999999996
10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,L18minusL6,-994.3800000000001
10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,L14minusL12,-477.2599999999993
10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,L16minusL12,-478.5199999999995
10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,L18minusL12,-747.96
10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,L16minusL14,-1.2600000000002183
10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,L18minusL14,-270.7000000000007
10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,L18minusL16,-269.4400000000005
11,-4764.189999999944,6461.0800000000745,2650.97,-2424.31,36.96,S02minusS92,-1452.5000000000005
