,Well,x,y,MD,Z,PTI_TVT,DeltaCase,DeltaPressure,co,ai,4D qual Fact
90,6,-6216.349999999977,4427.599999999628,4432.51,-2511.0,11.47,L12minusL6,-424.65000000000015,-0.93,2.96,87.86
91,6,-6216.349999999977,4427.599999999628,4432.51,-2511.0,11.47,L14minusL6,-525.06,-7.89,2.64,87.86
92,6,-6216.349999999977,4427.599999999628,4432.51,-2511.0,11.47,L16minusL6,-315.4699999999998,-7.89,3.61,87.86
93,6,-6216.349999999977,4427.599999999628,4432.51,-2511.0,11.47,L18minusL6,-548.1700000000002,-16.81,3.58,87.86
94,6,-6216.349999999977,4427.599999999628,4432.51,-2511.0,11.47,L14minusL12,-100.40999999999985,-0.14,0.0,87.86
95,6,-6216.349999999977,4427.599999999628,4432.51,-2511.0,11.47,L18minusL12,-123.51999999999998,-7.57,0.64,87.86
96,6,-6216.349999999977,4427.599999999628,4432.51,-2511.0,11.47,L18minusL14,-23.110000000000127,-7.16,0.94,87.86
97,6,-6216.349999999977,4427.599999999628,4432.51,-2511.0,11.47,L18minusL16,-232.70000000000027,-1.06,0.05,87.86
98,7,-3453.020000000018,10526.889999999665,4550.6,-2526.99,48.0,S02minusS92,-1316.27,3.29,21.0,95.98
99,7,-3453.020000000018,10526.889999999665,4550.6,-2526.99,48.0,S12minusS92,-1275.85,5.89,36.82,95.98
100,7,-3453.020000000018,10526.889999999665,4550.6,-2526.99,48.0,L6minusL1,-550.5999999999998,-54.84,2.51,95.98
101,7,-3453.020000000018,10526.889999999665,4550.6,-2526.99,48.0,L12minusL1,-344.78000000000014,-107.52,8.6,95.98
102,7,-3453.020000000018,10526.889999999665,4550.6,-2526.99,48.0,L14minusL1,-159.88999999999987,-126.79,9.87,95.98
103,7,-3453.020000000018,10526.889999999665,4550.6,-2526.99,48.0,L16minusL1,-7.829999999999927,-126.11,10.53,95.98
116,9,-4357.439999999944,7483.990000000223,2566.21,-2415.54,48.9,S02minusS92,-1180.5500000000004,3.33,7.83,49.88
117,9,-4357.439999999944,7483.990000000223,2566.21,-2415.54,48.9,L6minusL1,-74.35000000000036,-9.16,0.5,49.88
118,9,-4357.439999999944,7483.990000000223,2566.21,-2415.54,48.9,L16minusL14,-221.8300000000004,-16.87,0.2,49.88
119,10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,S02minusS92,-864.2200000000003,0.35,0.81,100.0
120,10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,S12minusS92,-1694.04,0.68,0.74,100.0
121,10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,S12minusS02,-829.8199999999997,0.4,0.11,100.0
122,10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,L12minusL1,-220.30000000000015,-1.12,0.15,100.0
123,10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,L14minusL1,-697.5599999999995,-3.17,0.06,100.0
124,10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,L16minusL1,-698.8199999999997,-4.82,0.03,100.0
125,10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,L18minusL1,-968.2600000000003,-6.54,0.07,100.0
126,10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,L12minusL6,-246.42000000000007,0.0,0.17,100.0
127,10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,L14minusL6,-723.6799999999994,0.0,0.08,100.0
128,10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,L16minusL6,-724.9399999999997,0.0,0.02,100.0
129,10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,L18minusL6,-994.38,-0.06,0.1,100.0
130,10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,L14minusL12,-477.2599999999993,-0.34,0.0,100.0
131,10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,L16minusL12,-478.51999999999947,-12.22,0.01,100.0
132,10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,L18minusL12,-747.96,-4.13,0.1,100.0
133,10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,L16minusL14,-1.2600000000002185,-9.28,0.05,100.0
134,10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,L18minusL14,-270.70000000000067,-2.6,0.24,100.0
135,10,-1233.1199999999953,8983.639999999665,5036.72,-2543.61,1.0,L18minusL16,-269.4400000000005,0.0,0.28,100.0
136,11,-4764.189999999944,6461.0800000000745,2650.97,-2424.31,36.96,S02minusS92,-1452.5000000000007,1.19,9.28,28.08
137,11,-4764.189999999944,6461.0800000000745,2650.97,-2424.31,36.96,S12minusS92,-1086.5000000000002,1.47,10.11,28.08
138,11,-4764.189999999944,6461.0800000000745,2650.97,-2424.31,36.96,L6minusL1,-53.569999999999716,-34.3,1.03,28.08
139,11,-4764.189999999944,6461.0800000000745,2650.97,-2424.31,36.96,L14minusL12,-23.5,-12.91,0.55,28.08
140,11,-4764.189999999944,6461.0800000000745,2650.97,-2424.31,36.96,L18minusL12,-49.09000000000015,-19.7,0.18,28.08
141,11,-4764.189999999944,6461.0800000000745,2650.97,-2424.31,36.96,L18minusL14,-25.590000000000142,-12.27,0.0,28.08
142,11,-4764.189999999944,6461.0800000000745,2650.97,-2424.31,36.96,L18minusL16,-129.19000000000003,-7.19,0.0,28.08
143,12,-3305.450000000012,11509.389999999663,3358.61,-2571.16,18.2,S02minusS92,-811.3000000000003,1.0,4.0,100.0
144,12,-3305.450000000012,11509.389999999663,3358.61,-2571.16,18.2,S12minusS92,-2206.59,2.53,4.89,100.0
145,12,-3305.450000000012,11509.389999999663,3358.61,-2571.16,18.2,S12minusS02,-1395.2899999999993,1.61,1.14,100.0
146,12,-3305.450000000012,11509.389999999663,3358.61,-2571.16,18.2,L6minusL1,-1186.2199999999998,-30.68,2.85,100.0
147,12,-3305.450000000012,11509.389999999663,3358.61,-2571.16,18.2,L12minusL1,-1430.8499999999995,-54.89,3.45,100.0
148,12,-3305.450000000012,11509.389999999663,3358.61,-2571.16,18.2,L14minusL1,-1407.5799999999995,-68.25,3.88,100.0
149,12,-3305.450000000012,11509.389999999663,3358.61,-2571.16,18.2,L16minusL1,-1330.0499999999995,-59.26,3.47,100.0
150,12,-3305.450000000012,11509.389999999663,3358.61,-2571.16,18.2,L18minusL1,-1575.9299999999994,-77.12,3.91,100.0
151,12,-3305.450000000012,11509.389999999663,3358.61,-2571.16,18.2,L12minusL6,-244.62999999999963,-22.58,1.19,100.0
152,12,-3305.450000000012,11509.389999999663,3358.61,-2571.16,18.2,L14minusL6,-221.3599999999997,-40.98,1.52,100.0
153,12,-3305.450000000012,11509.389999999663,3358.61,-2571.16,18.2,L16minusL6,-143.8299999999999,-40.98,1.3,100.0
154,12,-3305.450000000012,11509.389999999663,3358.61,-2571.16,18.2,L18minusL6,-389.70999999999964,-46.43,1.45,100.0
155,12,-3305.450000000012,11509.389999999663,3358.61,-2571.16,18.2,L18minusL12,-145.0799999999999,-9.16,0.55,100.0
156,12,-3305.450000000012,11509.389999999663,3358.61,-2571.16,18.2,L18minusL14,-168.3499999999999,-3.35,0.28,100.0
157,12,-3305.450000000012,11509.389999999663,3358.61,-2571.16,18.2,L18minusL16,-245.87999999999963,-2.12,0.48,100.0
158,13,-4482.609999999986,7257.280000000262,2466.59,-2423.01,30.54,S02minusS92,-550.9499999999998,1.91,10.4,42.07
159,13,-4482.609999999986,7257.280000000262,2466.59,-2423.01,30.54,L6minusL1,-89.82000000000015,-16.42,0.0,42.07
160,13,-4482.609999999986,7257.280000000262,2466.59,-2423.01,30.54,L16minusL14,-50.6500000000001,-0.27,0.71,42.07
161,13,-4482.609999999986,7257.280000000262,2466.59,-2423.01,30.54,L18minusL14,-2.9200000000000728,-1.14,0.73,42.07
162,14,-5394.760000000009,6664.110000000334,2994.53,-2433.69,34.22,S02minusS92,-887.19,5.33,5.02,55.03
163,14,-5394.760000000009,6664.110000000334,2994.53,-2433.69,34.22,S12minusS92,-1550.0500000000004,7.62,8.49,55.03
