,x,y,Z,0
89,-2346.200000000012,7290.969999999737,-2493.96,-118.0530770284114
90,-5282.290000000037,9233.28000000026,-2563.15,-1832.3646722724181
91,-5282.290000000037,9233.28000000026,-2563.15,-1832.1336282637626
92,-5282.290000000037,9233.28000000026,-2563.15,-321.0610580342995
93,-5282.290000000037,9233.28000000026,-2563.15,-321.0610580342995
94,-5282.290000000037,9233.28000000026,-2563.15,-244.17313608070975
95,-2184.9099999999744,7190.179999999702,-2500.03,-907.2556977777397
96,-2184.9099999999744,7190.179999999702,-2500.03,-1186.7501412613972
97,-2184.9099999999744,7190.179999999702,-2500.03,-1150.8527369381
98,-2184.9099999999744,7190.179999999702,-2500.03,-160.96411622183348
99,-2184.9099999999744,7190.179999999702,-2500.03,-543.8965280571273
100,-2184.9099999999744,7190.179999999702,-2500.03,-607.9923318661777
101,-2184.9099999999744,7190.179999999702,-2500.03,-428.17260690346274
102,-2184.9099999999744,7190.179999999702,-2500.03,-1127.9081426406522
103,-2184.9099999999744,7190.179999999702,-2500.03,-660.1312402661725
104,-2184.9099999999744,7190.179999999702,-2500.03,-771.0736810473314
105,-2184.9099999999744,7190.179999999702,-2500.03,-771.0736810473314
106,-2184.9099999999744,7190.179999999702,-2500.03,-874.053728666379
107,-2184.9099999999744,7190.179999999702,-2500.03,-160.96411622183348
108,-2184.9099999999744,7190.179999999702,-2500.03,-160.96411622183348
109,-5653.540000000035,7621.309999999591,-2491.47,-1211.2196383432658
110,-5653.540000000035,7621.309999999591,-2491.47,-1477.8773597603918
111,-5653.540000000035,7621.309999999591,-2491.47,-684.7557229674661
112,-5653.540000000035,7621.309999999591,-2491.47,-355.3992301802522
113,-5653.540000000035,7621.309999999591,-2491.47,-483.2626673339272
114,-5653.540000000035,7621.309999999591,-2491.47,-483.2626673339272
115,-5653.540000000035,7621.309999999591,-2491.47,-406.7792850485367
116,-5653.540000000035,7621.309999999591,-2491.47,-483.2626673339272
117,-5653.540000000035,7621.309999999591,-2491.47,-267.40462048439684
118,-5653.540000000035,7621.309999999591,-2491.47,-214.7132792270665
119,-5653.540000000035,7621.309999999591,-2491.47,-214.7132792270665
120,-5653.540000000035,7621.309999999591,-2491.47,-214.7132792270665
121,-5653.540000000035,7621.309999999591,-2491.47,-253.69277932045424
122,-5653.540000000035,7621.309999999591,-2491.47,-253.69277932045424
123,-5653.540000000035,7621.309999999591,-2491.47,-253.69277932045424
124,-5653.540000000035,7621.309999999591,-2491.47,-253.69277932045424
125,-5653.540000000035,7621.309999999591,-2491.47,-253.69277932045424
126,-4512.729999999981,4663.419999999926,-2468.44,-1127.1392171917398
127,-4512.729999999981,4663.419999999926,-2468.44,-2034.0940067307693
128,-4512.729999999981,4663.419999999926,-2468.44,-1544.207539138196
129,-4512.729999999981,4663.419999999926,-2468.44,-851.8279955711203
130,-4512.729999999981,4663.419999999926,-2468.44,-685.720891336616
131,-4512.729999999981,4663.419999999926,-2468.44,-692.0396313137711
132,-4512.729999999981,4663.419999999926,-2468.44,-798.6271754350486
133,-4512.729999999981,4663.419999999926,-2468.44,-971.27760243376
134,-4512.729999999981,4663.419999999926,-2468.44,-685.720891336616
135,-4512.729999999981,4663.419999999926,-2468.44,-900.2893396620908
136,-4512.729999999981,4663.419999999926,-2468.44,-792.4187768618743
137,-4512.729999999981,4663.419999999926,-2468.44,-845.0618516765726
138,-4679.040000000037,9300.860000000335,-2520.0,-1221.373695089324
139,-4679.040000000037,9300.860000000335,-2520.0,-1285.50202553064
140,-4679.040000000037,9300.860000000335,-2520.0,-789.0125115071253
141,-4679.040000000037,9300.860000000335,-2520.0,-234.8197572933528
142,-4679.040000000037,9300.860000000335,-2520.0,-234.8197572933528
143,-4679.040000000037,9300.860000000335,-2520.0,-253.75318234436736
144,-4679.040000000037,9300.860000000335,-2520.0,-234.8197572933528
145,-4679.040000000037,9300.860000000335,-2520.0,-379.8382108974008
146,-4679.040000000037,9300.860000000335,-2520.0,-234.8197572933528
147,-4679.040000000037,9300.860000000335,-2520.0,-234.8197572933528
148,-4679.040000000037,9300.860000000335,-2520.0,-234.8197572933528
149,-4679.040000000037,9300.860000000335,-2520.0,-234.8197572933528
150,-4679.040000000037,9300.860000000335,-2520.0,-234.8197572933528
151,-4679.040000000037,9300.860000000335,-2520.0,-234.8197572933528
152,-4679.040000000037,9300.860000000335,-2520.0,-234.8197572933528
153,-4679.040000000037,9300.860000000335,-2520.0,-234.8197572933528
154,-4679.040000000037,9300.860000000335,-2520.0,-234.8197572933528
155,-4679.040000000037,9300.860000000335,-2520.0,-234.8197572933528
156,-2277.479999999981,9952.519999999551,-2542.83,-2276.0229421591316
157,-2277.479999999981,9952.519999999551,-2542.83,-2071.3940190190783
158,-2277.479999999981,9952.519999999551,-2542.83,-708.6596162855363
159,-2277.479999999981,9952.519999999551,-2542.83,-252.2767649090809
160,-2277.479999999981,9952.519999999551,-2542.83,-276.59845087330007
161,-2277.479999999981,9952.519999999551,-2542.83,-252.2767649090809
162,-4979.349999999977,5101.099999999628,-2438.17,-1664.3288644198997
163,-4979.349999999977,5101.099999999628,-2438.17,-1802.5274008581837
164,-4979.349999999977,5101.099999999628,-2438.17,-1230.9263401497442
165,-4979.349999999977,5101.099999999628,-2438.17,-384.39588863875645
166,-4979.349999999977,5101.099999999628,-2438.17,-374.10569782101186
167,-4979.349999999977,5101.099999999628,-2438.17,-499.3912759915035
168,-4979.349999999977,5101.099999999628,-2438.17,-435.80959642320704
169,-4979.349999999977,5101.099999999628,-2438.17,-499.3912759915035
